country,occurrences,bright_ti5_low,bright_ti5_avg,bright_ti5_high,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
Albania,1642,274.9,300.51,318.1,40.43,19.805,350.5,1.8,1.3,2017-08-11,1215,Aqua,MODIS,94,6.1,318.1,102.2
Andorra,2,297.6,299.40,301.2,42.511,1.538,313.9,1.1,1.1,2017-06-11,1106,Terra,MODIS,39,6.1,301.2,9.1
Armenia,400,266.0,298.37,329.7,39.558,45.813,448.1,1.2,1.1,2017-09-20,0808,Terra,MODIS,100,6.1,329.7,888.2
Austria,564,268.9,293.01,317.8,48.27,14.338,336.4,1,1,2017-06-19,1159,Aqua,MODIS,70,6.1,317.8,24.2
Azerbaijan,1743,270.7,299.26,334.9,41.066,47.72,479,1.1,1.1,2017-09-01,0737,Terra,MODIS,100,6.1,334.9,1372.3
Belarus,1206,273.5,290.37,309.7,52.844,29.985,321.5,1,1,2017-08-18,1046,Aqua,MODIS,74,6.1,309.7,11.5
Belgium,525,269.8,287.28,309.6,51.163,3.804,328.7,1.1,1,2017-05-26,1249,Aqua,MODIS,60,6.1,309.6,16.9
Bosnia_and_Herzegovina,2001,270.2,297.26,329.3,43.582,17.606,451.7,1.5,1.2,2017-08-27,1216,Aqua,MODIS,75,6.1,329.3,1298.2
Bulgaria,2934,267.0,297.23,323.2,43.605,23.558,356.3,1,1,2017-08-03,1126,Aqua,MODIS,97,6.1,323.2,58.2
Croatia,1419,269.2,296.76,322.7,43.944,15.98,395,1.5,1.2,2017-08-02,1222,Aqua,MODIS,100,6.1,322.7,367.8
Cyprus,27,284.9,301.68,318.2,35.039,34.02,333.3,1.3,1.1,2017-07-01,1041,Aqua,MODIS,51,6.1,318.2,16.4
Czech_Republic,199,268.1,290.99,308.1,49.679,18.662,321.3,1,1,2017-08-01,1140,Aqua,MODIS,43,6.1,308.1,9.5
Denmark,47,275.6,288.69,302.9,54.826,11.161,320.6,1,1,2017-05-27,1155,Aqua,MODIS,56,6.1,302.9,13.9
Estonia,11,279.9,287.77,293.7,58.426,26.968,304.5,1.1,1,2017-08-11,1041,Aqua,MODIS,27,6.1,293.7,5.1
Finland,119,267.5,289.00,299.4,60.296,25.522,312.6,1,1,2017-06-29,1100,Aqua,MODIS,0,6.1,299.4,6.6
France,2772,266.5,292.10,400.1,42.613,9.366,475.2,1,1,2017-07-24,1228,Aqua,MODIS,100,6.1,400.1,1087.5
Georgia,915,269.4,295.76,321.6,41.354,46.334,338.7,1,1,2017-08-08,1005,Aqua,MODIS,60,6.1,321.6,11.3
Germany,2013,267.8,288.46,313.5,48.644,12.464,326.7,1.2,1.1,2017-06-15,1224,Aqua,MODIS,69,6.1,313.5,19.9
Greece,1505,275.9,298.53,400.1,36.224,22.938,475.8,1.8,1.3,2017-08-05,1112,Aqua,MODIS,75,6.1,400.1,2660.6
Hungary,326,267.6,292.77,314.2,46.022,19.063,330.1,1.1,1,2017-08-26,1133,Aqua,MODIS,59,6.1,314.2,14
Iceland,4,280.7,281.43,282.2,64.849,-22.786,326.9,3.2,1.7,2017-05-11,1515,Aqua,MODIS,80,6.1,282.2,147.7
Ireland,165,272.5,288.20,302.1,53.345,-9.334,395.1,1,1,2017-05-09,1158,Terra,MODIS,100,6.1,302.1,231.1
Italy,8507,264.8,300.89,336.2,40.699,9.409,475,1.1,1,2017-07-14,1011,Terra,MODIS,100,6.1,336.2,1234.3
Kazakhstan,72144,265.4,299.85,400.1,47.642,77.589,422.4,1.2,1.1,2017-07-27,0803,Aqua,MODIS,0,6.1,400.1,501.7
Kosovo,186,275.3,299.21,315.2,42.482,21.385,327.4,1,1,2017-08-01,1138,Aqua,MODIS,43,6.1,315.2,9.6
Latvia,30,284.4,290.71,298.1,57.171,24.41,315.9,1.2,1.1,2017-06-09,1124,Aqua,MODIS,69,6.1,298.1,14.1
Lithuania,25,280.6,292.35,304.1,55.078,25.827,321.9,1.3,1.1,2017-05-23,1041,Aqua,MODIS,80,6.1,304.1,24.7
Luxembourg,64,269.6,288.68,307.8,49.522,5.901,318.9,1.8,1.3,2017-06-19,1200,Aqua,MODIS,54,6.1,307.8,20.2
Macedonia,814,265.9,297.49,325.6,41.218,22.439,429,1.3,1.1,2017-08-12,1120,Aqua,MODIS,100,6.1,325.6,657.8
Malta,7,305.5,306.69,314.2,35.907,14.376,333.9,1,1,2017-06-30,1000,Terra,MODIS,86,6.1,314.2,15.8
Moldova,732,272.3,298.78,314.6,46.825,29.749,326.6,1.3,1.1,2017-08-12,1121,Aqua,MODIS,49,6.1,314.6,13.5
Montenegro,1345,273.0,297.69,320.4,42.37,18.627,436.9,2,1.4,2017-07-17,1222,Aqua,MODIS,100,6.1,320.4,1513.7
Netherlands,231,270.4,289.55,307.5,51.407,6.067,325.1,1.8,1.3,2017-05-27,1154,Aqua,MODIS,77,6.1,307.5,29.3
Norway,85,270.8,290.21,302.2,66.307,14.163,314.2,1.1,1,2017-06-13,1102,Aqua,MODIS,61,6.1,302.2,10.8
Poland,466,267.5,289.98,307.6,50.072,20.084,321.9,1,1,2017-08-01,0956,Terra,MODIS,44,6.1,307.6,8.2
Portugal,6592,265.6,294.87,400.1,40.247,-7.56,487.7,1.1,1,2017-08-20,0242,Aqua,MODIS,100,6.1,400.1,1518
Romania,4805,265.5,295.36,323.5,44.176,23.109,340.8,1,1,2017-08-03,1127,Aqua,MODIS,85,6.1,323.5,17.7
Russian_Federation,227597,264.6,292.91,400.1,63.396,119.806,429.2,1,1,2017-08-08,1840,Aqua,MODIS,88,6.1,400.1,478.4
