country,occurrences,bright_ti4_low,bright_ti4_avg,bright_ti4_high,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
Russian_Federation,227597,300.0,322.67,506.0,62.508,122.953,506,1,1,2017-07-01,0413,Aqua,MODIS,100,6.1,400.1,1770.1
Serbia,1737,300.0,315.52,412.3,43.145,22.034,412.3,1,1,2017-09-06,0933,Terra,MODIS,100,6.1,308.8,331.3
Slovakia,299,300.2,308.92,328.3,48.608,21.187,328.3,1,1,2017-08-03,1128,Aqua,MODIS,72,6.1,311.1,13.5
Slovenia,68,300.7,320.38,433.8,45.828,13.755,433.8,1,1,2017-08-06,1016,Terra,MODIS,100,6.1,313.9,543.1
Spain,5113,300.0,322.13,500.0,41.923,-7.334,500,1,1,2017-08-03,2231,Terra,MODIS,100,6.1,322.3,1606.2
Sweden,184,300.0,313.85,403.4,59.344,16.549,403.4,1,1,2017-08-03,1131,Aqua,MODIS,100,6.1,299.6,270.4
Switzerland,72,300.4,307.29,320.3,47.169,7.561,320.3,1,1,2017-06-15,1223,Aqua,MODIS,70,6.1,303.2,10.4
Turkey,9532,300.0,321.94,435.2,37.133,36,435.2,1.1,1,2017-08-22,0839,Terra,MODIS,100,6.1,319.2,582.5
Ukraine,34779,300.0,319.65,500.0,48.894,35.645,500,1,1,2017-07-28,0842,Terra,MODIS,100,6.1,331.5,1604.5
United_Kingdom,598,300.0,309.31,393.4,56.69,-3.547,393.4,1.1,1,2017-04-13,1309,Aqua,MODIS,100,6.1,293.2,233.7
