country,occurrences,bright_ti5_low,bright_ti5_avg,bright_ti5_high,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
Albania,6516,265.6,297.43,380.0,40.44086,19.80457,367,0.38,0.36,2017-08-11,1134,N,VIIRS,l,1,380,127,
Armenia,1801,261.4,297.30,338.1,39.99965,44.91924,367,0.53,0.42,2017-08-15,1018,N,VIIRS,h,1,338.1,72,
Austria,2904,255.9,286.11,319.4,48.27275,14.33861,346.9,0.39,0.44,2017-06-09,1117,N,VIIRS,l,1,319.4,8.6,
Azerbaijan,7034,262.1,298.20,346.7,39.54343,47.22708,367,0.38,0.36,2017-07-21,0946,N,VIIRS,h,1,346.7,54,
Belarus,4144,245.9,287.05,329.0,51.9416,30.76093,367,0.4,0.37,2017-08-20,1028,N,VIIRS,l,1,329,81.1,
Belgium,4285,252.7,283.17,314.0,51.17432,3.80892,351.8,0.47,0.4,2017-06-15,1246,N,VIIRS,n,1,314,9.6,
Bosnia and Herzegovina,8182,248.5,294.04,351.5,43.57109,17.60474,367,0.43,0.38,2017-08-26,1154,N,VIIRS,h,1,351.5,67.4,
Bulgaria,9228,246.0,295.02,352.9,42.17897,26.32968,367,0.39,0.36,2017-07-01,1103,N,VIIRS,h,1,352.9,143.4,
Croatia,5018,256.3,294.41,367.4,43.5045,16.55256,367,0.4,0.37,2017-07-18,0101,N,VIIRS,h,1,367.4,102.5,
Cyprus,296,273.0,291.02,315.2,34.96301,32.45115,351.2,0.5,0.4,2017-09-10,1030,N,VIIRS,n,1.0NRT,315.2,5.5,D
Czech Republic,1403,254.0,283.96,308.1,49.74489,13.3896,333.1,0.42,0.37,2017-06-24,1137,N,VIIRS,l,1,308.1,1.9,
Denmark,771,257.2,282.77,314.0,55.92464,8.63831,340.1,0.48,0.4,2017-05-02,1132,N,VIIRS,n,1,314,52.7,
Estonia,220,238.3,278.18,300.2,59.49543,26.52671,326.2,0.41,0.37,2017-07-30,1023,N,VIIRS,n,1,300.2,2.1,
Finland,960,253.9,280.34,313.1,60.75413,26.59617,367,0.35,0.57,2017-05-04,0915,N,VIIRS,h,1,313.1,23.5,
France,16119,253.1,286.96,380.0,43.11169,6.32461,367,0.48,0.4,2017-07-26,0151,N,VIIRS,h,1,380,477,
Georgia,4178,255.9,293.93,363.0,41.40162,43.23452,367,0.4,0.4,2017-09-23,0942,N,VIIRS,n,1.0NRT,363,215.4,D
Germany,17346,249.0,283.08,320.8,51.48568,6.70597,349.1,0.41,0.37,2017-05-27,1202,N,VIIRS,n,1,320.8,8.3,
Greece,5528,258.9,296.06,375.7,36.22313,22.94226,367,0.49,0.4,2017-08-05,1145,N,VIIRS,h,1,375.7,510.1,
Hungary,1678,252.0,289.24,316.8,46.70137,18.35949,345,0.36,0.58,2017-03-28,1226,N,VIIRS,n,1,316.8,44.6,
Iceland,11,240.6,268.62,286.0,64.85042,-22.74979,355.1,0.54,0.68,2017-05-11,1529,N,VIIRS,n,1,286,16.4,
Ireland,861,254.0,283.89,318.2,53.32557,-9.40587,252,0.43,0.62,2017-05-09,1422,N,VIIRS,l,1,318.2,66.9,
Italy,39235,241.4,296.12,380.0,37.73715,15.00415,367,0.38,0.36,2017-03-18,0050,N,VIIRS,h,1,380,279,
Kazakhstan,261708,235.7,296.99,380.0,48.5056,52.25648,367,0.45,0.39,2017-07-29,0858,N,VIIRS,l,1,380,403.9,
Kosovo,1064,262.5,296.53,356.7,42.17118,20.54767,367,0.4,0.44,2017-08-02,1103,N,VIIRS,h,1,356.7,110.9,
Latvia,133,267.3,285.86,307.7,57.11717,24.46794,367,0.35,0.57,2017-05-22,1157,N,VIIRS,h,1,307.7,9.9,
Lithuania,92,258.1,285.89,333.0,55.07235,25.82437,367,0.4,0.37,2017-05-25,1100,N,VIIRS,l,1,333,27,
Luxembourg,656,259.9,280.85,311.7,49.50257,5.95996,338.5,0.33,0.55,2017-06-19,1311,N,VIIRS,l,1,311.7,5.5,
Macedonia,3851,258.7,294.75,365.0,41.22237,22.44769,367,0.41,0.37,2017-08-12,1115,N,VIIRS,h,1,365,294.5,
Malta,18,282.8,299.04,311.2,35.90507,14.37397,367,0.33,0.55,2017-06-30,1120,N,VIIRS,h,1,311.2,2.9,
Moldova,2807,266.4,295.74,325.5,46.48372,29.3613,367,0.43,0.38,2017-08-02,1104,N,VIIRS,l,1,325.5,51.8,
Montenegro,5826,257.6,295.02,334.5,42.92508,18.80401,367,0.4,0.4,2017-09-01,1136,N,VIIRS,n,1.0NRT,334.5,30.9,D
