country,occurrences,bright_ti5_low,bright_ti5_avg,bright_ti5_high,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
Netherlands,2979,255.1,283.17,312.8,52.48429,4.59523,339.9,0.44,0.38,2017-05-27,1203,N,VIIRS,l,1,312.8,4.6,
Norway,772,234.0,279.95,306.4,60.82613,11.14085,349.3,0.39,0.36,2017-05-02,1133,N,VIIRS,n,1,306.4,36,
Poland,5254,252.0,283.35,315.2,50.06154,20.12227,346.1,0.38,0.36,2017-08-01,1124,N,VIIRS,n,1,315.2,6.8,
Portugal,19189,227.5,292.01,380.0,40.09174,-7.52591,367,0.5,0.49,2017-08-14,1400,N,VIIRS,l,1,380,318.8,
Romania,17682,254.2,293.95,341.1,43.87685,25.20612,367,0.5,0.4,2017-09-12,1130,N,VIIRS,n,1.0NRT,341.1,110.1,D
Russia,914839,225.1,288.87,380.0,63.19593,122.01029,367,0.43,0.38,2017-08-07,0429,N,VIIRS,l,1,380,174.7,
Serbia,7379,253.7,294.25,360.5,45.90973,20.33575,367,0.4,0.37,2017-08-27,1136,N,VIIRS,h,1,360.5,64.4,
Slovakia,2906,252.9,283.79,334.0,48.41133,18.12568,367,0.44,0.46,2017-07-03,1207,N,VIIRS,h,1,334,238.4,
Slovenia,274,264.3,284.78,316.6,45.82934,13.7576,353.8,0.52,0.42,2017-08-06,1129,N,VIIRS,n,1,316.6,33.4,
Spain,19728,232.8,289.77,380.0,43.0003,-6.72687,367,0.39,0.36,2017-04-21,1316,N,VIIRS,l,1,380,538,
Sweden,1348,240.7,279.26,326.5,67.09008,21.65189,367,0.4,0.45,2017-06-14,1128,N,VIIRS,l,1,326.5,63.7,
Switzerland,626,256.2,284.80,309.1,47.17322,7.56352,339.1,0.41,0.37,2017-07-18,1226,N,VIIRS,n,1,309.1,6.4,
Turkey,41764,253.2,297.09,380.0,38.15548,27.07284,367,0.4,0.37,2017-07-01,1101,N,VIIRS,l,1,380,219.1,
Ukraine,119058,246.3,294.58,380.0,49.16571,39.61835,367,0.38,0.36,2017-08-21,1008,N,VIIRS,l,1,380,426.5,
United Kingdom,6350,252.9,281.65,325.2,54.57998,-1.10675,367,0.4,0.37,2017-07-18,1229,N,VIIRS,l,1,325.2,43.7,
